Site,Transect,Part,Unknown,Bacterivorous,Fungivorous,Herbivorous,Omnivorous,Predatory,Total,ProportionCounted,WetSoil,ExtractMass,DrySoil
9008,50,a,8,42,20,49,18,0,137,0.25,52.58,51.46,41.87
9008,pad,a,4,43,20,44,31,0,142,0.25,50.13,50.3,41.04
9742,150,a,5,85,17,70,35,14,226,0.25,51.68,50.99,40.41
9742,50,a,2,32,9,16,16,3,78,0.25,51.13,50.44,40.85
9742,pad,a,4,57,46,121,24,3,255,0.25,51.62,49.58,41.06
12195,150,a,13,87,50,84,31,9,274,0.25,49.55,49,36.61
12195,50,a,6,52,23,44,21,10,156,0.25,50.07,51.25,35.67
12195,pad,a,13,50,20,53,27,4,167,0.25,56.37,50.88,42.23
13599,150,a,1,11,10,18,5,4,49,0.25,52.01,50.47,40.92
13599,50,a,8,34,18,39,7,4,110,0.25,50.2,52.03,39.85
13599,pad,a,3,56,36,79,3,3,180,0.25,51.57,49.41,39.92
16535,150,a,10,44,22,95,41,9,221,0.25,52.19,51.69,41.08
16535,50,a,14,73,16,104,34,2,243,0.25,53.36,54.26,42.4
16535,pad,a,4,23,9,48,32,7,123,0.25,51.96,52.99,42.38
6883,150,b,3,31,11,44,21,0,110,0.25,50.25,52.44,40.12
6883,50,b,10,34,17,70,19,0,150,0.25,49.96,50.11,40.48
6883,pad,b,4,38,15,50,9,2,118,0.25,49.63,50.62,40.12
7207,150,b,14,50,17,37,18,3,139,0.25,50.66,50.56,43.79
7207,50,b,6,24,10,12,11,4,67,0.25,50.82,51.22,42.72
7207,pad,b,3,61,22,26,27,0,139,0.25,50.55,50,43.79
8221,150,b,15,182,91,136,53,15,492,0.5,51.15,50.15,41.89
8221,50,b,9,227,212,148,44,4,644,0.5,50.86,51.03,41.93
8221,pad,b,13,108,51,48,19,0,239,0.5,50.79,50.64,44.59
7320,150,b,5,116,92,49,11,9,282,0.5,52.33,50.52,42.15
7320,50,b,2,46,68,16,6,2,140,0.25,52.69,51.27,42.5
7320,pad,b,11,121,31,26,12,1,202,0.5,50.1,50.35,41.99
7406,150,b,8,83,31,95,45,2,264,0.25,52.3,51.29,42.25
7406,50,b,12,142,10,38,24,5,231,0.25,51.26,50.84,41.6
7406,pad,b,8,105,20,113,32,1,279,0.25,52.25,50.41,43.39
7410,150,b,1,28,7,68,10,3,117,0.25,51.8,49.57,42.31
7410,50,b,8,92,14,127,34,3,278,0.25,50.4,48.99,38.46
7410,pad,b,5,50,10,40,8,4,117,0.25,49.32,50.97,40.54
7432,150,b,15,72,46,61,41,6,241,0.25,50.14,50.33,40.26
7432,50,b,7,41,21,66,30,1,166,0.25,50.42,50.66,41.05
7432,pad,b,3,69,21,8,7,4,112,0.25,49.66,49.95,37.79
7756,150,b,5,43,13,70,24,4,159,0.25,50.56,49.49,40.47
7756,50,b,5,47,11,49,36,0,148,0.25,49.03,49.77,39.98
7756,pad,b,4,43,13,31,7,5,103,0.25,54.47,52.05,44.25
7812,150,b,39,205,65,241,12,39,601,0.5,52.28,52.28,41.95
7812,50,b,11,119,186,119,19,29,483,0.5,51.44,50.22,39.92
7812,pad,b,9,129,79,63,91,1,372,0.5,50.53,50.36,42.04
8492,150,b,18,45,33,136,36,3,271,0.25,49.94,51.26,40.1
8492,50,b,11,84,21,109,18,3,246,0.25,49.61,52.51,38.89
8492,pad,b,6,28,14,50,14,0,112,0.25,50.99,49.43,40.65
9008,150,b,36,92,35,199,54,6,422,0.25,50.47,50.48,39.03
9008,50,b,10,32,18,62,22,1,145,0.25,50.21,50.29,39.69
9008,pad,b,2,51,19,17,45,1,135,0.25,50.9,54.08,41.78
9742,150,b,3,63,14,72,47,6,205,0.25,52.09,51.03,41.03
9742,50,b,5,47,17,58,21,10,158,0.25,54.16,43.07,41.12
9742,pad,b,3,35,10,40,20,0,108,0.25,51.76,50.72,41.06
12195,150,b,3,36,17,45,17,7,125,0.25,59.73,49.65,43.26
12195,50,b,16,86,32,80,24,10,248,0.25,50.81,51.6,33.96
12195,pad,b,6,60,10,66,31,5,178,0.25,51.24,51.35,38.52
13599,150,b,1,10,22,24,8,4,69,0.25,52.26,52.56,40.83
13599,50,b,13,43,26,64,15,7,168,0.25,52.55,51.04,39.73
13599,pad,b,8,20,31,53,4,0,116,0.25,51.2,50.92,39.82
16535,150,b,6,32,29,47,27,2,143,0.25,50.9,50.81,38.47
16535,50,b,12,41,22,69,47,1,192,0.25,52.65,51.28,40.98
16535,pad,b,8,33,18,78,25,11,173,0.25,50.18,50.28,40.5
